Date,Total Sleep Hours,First Sleep Start,Last Sleep End,Number of Sessions,Year,Month,Month Name,Day of Week,Day of Month,Week of Year,Bedtime,Wake Time,Sleep Duration (minutes)
2022-03-01,6.6194444444444445,2022-03-01 01:22:50+03:00,2022-03-01 01:22:50+03:00,1,2022,3,March,Tuesday,1,9,01:22,01:22,397.1666666666667
2022-03-02,5.722777777777778,2022-03-02 02:16:39+03:00,2022-03-02 02:16:39+03:00,1,2022,3,March,Wednesday,2,9,02:16,02:16,343.3666666666667
2022-03-03,6.958055555555555,2022-03-03 01:02:33+03:00,2022-03-03 01:02:33+03:00,1,2022,3,March,Thursday,3,9,01:02,01:02,417.4833333333333
2022-03-04,5.674722222222222,2022-03-04 02:19:32+03:00,2022-03-04 02:19:32+03:00,1,2022,3,March,Friday,4,9,02:19,02:19,340.48333333333335
2022-03-07,5.510555555555555,2022-03-07 02:29:22+03:00,2022-03-07 02:29:22+03:00,1,2022,3,March,Monday,7,10,02:29,02:29,330.6333333333333
2022-03-08,6.819444444444445,2022-03-08 01:10:50+03:00,2022-03-08 01:10:50+03:00,1,2022,3,March,Tuesday,8,10,01:10,01:10,409.1666666666667
2022-03-09,3.935,2022-03-09 03:00:29+03:00,2022-03-09 06:58:38+03:00,5,2022,3,March,Wednesday,9,10,03:00,06:58,236.1
2022-03-10,3.643611111111111,2022-03-10 04:21:26+03:00,2022-03-10 04:21:26+03:00,1,2022,3,March,Thursday,10,10,04:21,04:21,218.61666666666665
2022-03-14,5.435555555555555,2022-03-14 02:33:52+03:00,2022-03-14 02:33:52+03:00,1,2022,3,March,Monday,14,11,02:33,02:33,326.1333333333333
2022-03-15,6.323333333333333,2022-03-15 01:40:38+03:00,2022-03-15 01:40:38+03:00,1,2022,3,March,Tuesday,15,11,01:40,01:40,379.4
2022-03-16,5.779999999999999,2022-03-16 02:09:59+03:00,2022-03-16 04:33:39+03:00,2,2022,3,March,Wednesday,16,11,02:09,04:33,346.79999999999995
2022-03-17,5.947222222222222,2022-03-17 02:03:11+03:00,2022-03-17 02:03:11+03:00,1,2022,3,March,Thursday,17,11,02:03,02:03,356.8333333333333
2022-03-18,4.598611111111111,2022-03-18 03:24:05+03:00,2022-03-18 03:24:05+03:00,1,2022,3,March,Friday,18,11,03:24,03:24,275.9166666666667
2022-03-21,3.3447222222222224,2022-03-21 04:39:20+03:00,2022-03-21 04:39:20+03:00,1,2022,3,March,Monday,21,12,04:39,04:39,200.68333333333334
2022-03-22,7.083333333333333,2022-03-22 00:55:00+03:00,2022-03-22 00:55:00+03:00,1,2022,3,March,Tuesday,22,12,00:55,00:55,425.0
